objid,map_type,Location,Id,hash_id,name,scale,map_static,korok_id,korok_type,x,y,z
535940,MainField,,GF06,0xfcfc709f7eb81854,Enemy_Giant_Junior,0,1,None,None,1878.61,65.56,2948.36
536152,MainField,,GF08,0x4ebbd69217f36245,Enemy_Giant_Senior,0,1,None,None,2025.49,201.22,3061.28
540907,MainField,,GC04,0xb55cec0424d8dc0a,Enemy_Giant_Junior_KeyCrystal,0,1,None,None,-2274.74,211.15,723
541124,MainField,,GR03,0xbfb5f730c60fc03d,Enemy_Giant_Bone_AllDay,0,1,None,None,-2058.39,34.8,-1558.58
548493,MainField,,GZ04,0x4159b725a5a10fb8,Enemy_Giant_Bone_AllDay,0,1,None,None,1434.25,92.06,137.32
550773,MainField,,CC01,0x616e23e474182bf0,Enemy_Giant_Senior,0,1,None,None,-154,320.46,-1063.87
291586,MinusField,,DG01,0xb5e98e133529f133,Enemy_Giant_Senior,0,1,None,None,-4205,-766.22,1292
296819,MinusField,,DG02,0xd9412bf0d7ab6bb0,Enemy_Giant_Middle,0,1,None,None,-4324.58,-371.81,3465.07
299419,MinusField,,DH01,0x45e39bde50476938,Enemy_Giant_Senior,0,1,None,None,-3654.67,-572.86,-3806.21
305715,MinusField,,DH03,0x481b64af5bad2a9d,Enemy_Giant_Bone_AllDay,0,1,None,None,-3793.24,-485.34,-1557.11
323236,MinusField,,DG03,0x07c82e99cd8bd325,Enemy_Giant_Bone_AllDay,0,1,None,None,-3570.83,-363.58,3554.62
328035,MinusField,,DH02,0xef4f162c00c0f247,Enemy_Giant_Senior,0,1,None,None,-2783,-652.46,-2031
331145,MinusField,,DH04,0xef8d3687413a37d5,Enemy_Giant_Middle,0,1,None,None,-2735.93,-503.75,-1334.03
363759,MinusField,,DC04,0xf544f6502a3e3793,Enemy_Giant_Junior,0,1,None,None,-1069.78,-372.86,821.39
363761,MinusField,,DC01,0x50103a8a84649d4f,Enemy_Giant_Bone_AllDay,0,1,None,None,-1092.66,-380.07,-46.55
363876,MinusField,,DC03,0x2dff7098ea384767,Enemy_Giant_Bone_AllDay,0,1,None,None,-1177.03,-381.29,114.59
370556,MinusField,,DF02,0xc6fa2a701f189828,Enemy_Giant_Junior,0,1,None,None,-1439.15,-451.19,2365.97
376859,MinusField,,DE04,0xba4e29ca3f91075e,Enemy_Giant_Senior,0,1,None,None,-146.27,-516.04,-2382.3
392419,MinusField,,DC05,0xc30cf78bc44c0fdf,Enemy_Giant_Junior,0,1,None,None,46.43,-361.14,1334.85
403308,MinusField,,DE03,0xb6f130bc61d43209,Enemy_Giant_Bone_AllDay,0,1,None,None,912.68,-571.55,-2907.77
412537,MinusField,,DC02,0x57c517af929d6f99,Enemy_Giant_Junior,0,1,None,None,366.15,-371.6,6.83
416378,MinusField,,DF01,0x67dbd94fd8596adf,Enemy_Giant_Bone_AllDay,0,1,None,None,779.41,-361.07,1956.19
431570,MinusField,,DE05,0x4d612cf3612a421c,Enemy_Giant_Middle,0,1,None,None,1305.27,-374.54,-910.26
437106,MinusField,,DL02,0xf35a26496b3679c4,Enemy_Giant_Senior,0,1,None,None,1469.5,-444.25,1329.5
440951,MinusField,,DF03,0x556c9c3647378dac,Enemy_Giant_Middle,0,1,None,None,1562.2,-535.46,2416.01
440955,MinusField,,DF05,0x12633133c1e49c91,Enemy_Giant_Middle,0,1,None,None,1098.12,-411.38,2872.43
440973,MinusField,,DF04,0xcf658e3f2dfb8ff0,Enemy_Giant_Middle,0,1,None,None,1213.43,-488.15,2671.66
444343,MinusField,,DF06,0xc998fd5a3e19c206,Enemy_Giant_Middle,0,1,None,None,1651.96,-602.49,2910.67
444347,MinusField,,DF07,0x0661956f9bf66afb,Enemy_Giant_Senior,0,1,None,None,1687.42,-350.59,3873.21
445417,MinusField,,DE02,0xe58cf6f274d94b7d,Enemy_Giant_Bone_AllDay,0,1,None,None,2138.01,-768.15,-3008.41
457529,MinusField,,DL03,0xe6c3ed13ba840604,Enemy_Giant_Senior,0,1,None,None,2051.05,-367.46,2003.66
457826,MinusField,,DL01,0x1dbe03cb73ea209d,Enemy_Giant_Bone_AllDay,0,1,None,None,2243.53,-575.15,1134.1
461471,MinusField,,DL04,0x814a34c97b48541e,Enemy_Giant_Bone_AllDay,0,1,None,None,2874.6,-465.13,2405.43
467139,MinusField,,DE01,0x61b805632ebe1814,Enemy_Giant_Bone_AllDay,0,1,None,None,3257.22,-325.39,-3445.18
491457,MinusField,,DA01,0x5cb00ac1d7a7160e,Enemy_Giant_Senior,0,1,None,None,4643.45,-376.89,-1777.71
